store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
715357,Versailles,78000,"1 Place Raymond Poincaré",,48.796901755415,2.1350287785038,,,,,,,,,,,,,,,,,,
715356,Drumettaz-Clarafond,73420,"248 avenue du golf",,45.66234455606,5.9095543282907,,,,,,,,,,,,,,,,,,
715355,Chemillé-en-Anjou,49120,"Rue de la barre",,47.202540725373,-0.72891519789428,,,,,,,,,,,,,,,,,,
714027,PAU,64000,"51 av du Loup",,43.311946106185,-0.35675906430875,,,,,,,,,,,,,,,,,,
714026,"LA TESTE DE BUCH",33115,"résidence Arcachon Marine",,44.63978850926,-1.1547632839004,,,,,,,,,,,,,,,,,,
714025,Saint-Médard-en-Jalles,33160,"av Descartes",,44.885529152438,-0.69269301408177,,,,,,,,,,,,,,,,,,
714024,"RIA SIRACH",66500,"rte de Mont Louis",,42.612498782241,2.4108143632791,,,,,,,,,,,,,,,,,,
714023,FABREGUES,34690,"44 Rue Francis Bergèse",,43.560726420611,3.7974761667543,,,,,,,,,,,,,,,,,,
714022,"LE MESNIL EN THELLE",60530,"238 av Jacques Vogt",,49.15863842945,2.2651103970201,,,,,,,,,,,,,,,,,,
714021,Marly,59770,"Avenue Henry Barbusse",,50.351020502135,3.5406822887154,,,,,,,,,,,,,,,,,,
714020,"MITRY MORY",77290,"Mitry le Neuf 36 av de Verdun",,48.954889237198,2.5979397686586,,,,,,,,,,,,,,,,,,
714019,"VILLENEUVE LOUBET",6270,"2040 RD 6007",,43.631607954962,7.1343971700311,,,,,,,,,,,,,,,,,,
714018,"LES PENNES MIRABEAU",13170,"chemin des Pennes aux Pins",,43.412820409348,5.3595721772226,,,,,,,,,,,,,,,,,,
714017,"DIGNE LES BAINS",4000,"ld la Tour",,44.070069008125,6.1779118944738,,,,,,,,,,,,,,,,,,
714016,MARLY,59770,"58T rue Paul Vaillant Couturier",,50.338948898112,3.5236245436968,,,,,,,,,,,,,,,,,,
714015,"ST MARTIN DE QUEYRIERES",5120,"Pré du Faure",,44.863775910521,6.5953256966858,,,,,,,,,,,,,,,,,,
714014,"TRANS EN PROVENCE",83720,"1612 rte de Draguignan",,43.514678745677,6.4773092274116,,,,,,,,,,,,,,,,,,
