store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
1349772,Viadana,46019,"Via Villa Santa Maria, 133D",,44.935590803308,10.506468679732,,,,,,,,,,,,,,,,,,
1329189,Collegno,10093,"Via Edmondo De Amicis, 70",,45.0761259,7.5941939,,,,,,,,,,,,,,,,,,
1316616,"San Giovanni in Persiceto",40017,"Via Suora nazarena 9",,44.64094,11.18517,,,,,,,,,,,,,,,,,,
1279479,Rovereto,38068,"Via Dell'Abetone, 51/3",,45.874328279059,11.031248608951,,,,"0388 3940235",,,,,,,,,,,,,,
1271128,Bollate,20021,"Via Della Repubblica, 16",,45.541807,9.1053255,,,,,,,,,,,,,,,,,,
1260489,Chiavari,16043,"Corso Vincenzo De Michiel, 29",,44.313783,9.3267312,,,,"0185 1840066",,,,,,,,,,,,,,
1231261,Torino,10121,"Strada Altessano, 45",,45.1033196,7.6459161,,,,"011 0620856",,,,,,,,,,,,,,
1207072,Ambivere,24030,"Via Briantea, 1 A/2",,45.7291752,9.529933,,,,"0350 075090",,,,,,,,,,,,,,
1191680,Brescia,25136,"Via Orzinuovi, 52/D",,45.5297369,10.1886367,"Taste Of Sea",,,"030 3534146",,,,,,,,,,,,,,
1179178,Limena,35010,"Via Del Santo, 181",,45.465358,11.851836,"Ang. Via Volta, 1/Bis",,,"049 7160330",,,,,,,,,,,,,,
1157922,Carpi,41012,"Via Degli Inventori, 12",,44.7787329,10.8568693,,,,"059 5180196",,,,,,,,,,,,,,
1104031,Rozzano,20089,"Via Grandi Achille, 14/1",,45.380893,9.169513,,,,"02 25062248",,,,,,,,,,,,,,
1104022,"Settimo Torinese",10036,"Via P. Mascagni, 11",,45.1425675,7.7375615,"All'Interno Del C.C. Settimo Cielo",,,"011 0620711",,,,,,,,,,,,,,
1040087,"San Lazzaro Di Savena",40068,"Via Emilia, 220",,44.468511,11.413693,,,,"051 4381552",,,,,,,,,,,,,,
1036884,Cuneo,12100,"Via Cascina Colombaro Snc",,44.380475,7.527485,,,,"0171 020034",,,,,,,,,,,,,,
1028317,Alba,12051,"Corso Asti, 12",,44.711148,8.029853,,,,"0173 240216",,,,,,,,,,,,,,
1024132,Nichelino,10135,"Via Dei Cacciatori, 111",,45.006626,7.622809,"C/O I Viali Shopping Park",,,"011 0620601",,,,,,,,,,,,,,
1022449,Barzanò,23891,"Via Iv Novembre, 16",,45.737669,9.320916,,,,"039 2460404",,,,,,,,,,,,,,
1022182,Udine,33100,"Viale Palmanova, 211",,46.044244,13.250625,,,,"0432 1650038",,,,,,,,,,,,,,
1021602,Trento,38123,"Via Del Brennero, 332",,46.091491,11.115788,,,,"0461 1600054",,,,,,,,,,,,,,
1021075,Ferrara,44124,"Via Monteverdi, 34/36",,44.813087,11.594482,,,,"0532 900766",,,,,,,,,,,,,,
1021074,Treviso,31100,"Viale Iv Novembre, 93",,45.662517,12.270516,,,,"0422 1600082",,,,,,,,,,,,,,
1021069,Trieste,34148,"Via Dell'Istria, 139-1",,45.627411,13.793947,,,,"040 2490018",,,,,,,,,,,,,,
