store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
203487,Melilla,52003,"C/ Carlos de Arellano 13",,35.29134,-2.94409,,,,,,,,,,,,,,,,,,
203486,Ceuta,51001,"Molino Bajo 1",,35.8872,-5.30148,,,,,,,,,,,,,,,,,,
203485,"Breña Baja",38711,"Villa Flora (El Socorro) 172",,28.6392,-17.76658,,,,,,,,,,,,,,,,,,
203484,"Los Llanos de Aridane(La Palma",38760,"Apdo. Correos 106 - C/ Las Rosas 17",,28.58451,-17.89986,,,,,,,,,,,,,,,,,,
203483,"Puerto del Rosario",35600,"De la Virgen de la Peña 131",,28.50163,-13.87161,,,,,,,,,,,,,,,,,,
203482,Arucas,35400,"Av. Pedro Morales Déniz 193",,28.11292,-15.51008,,,,,,,,,,,,,,,,,,
203481,Tacoronte,38350,"Autopista General del Norte,Trasera s/n",,28.47732,-16.41345,,,,,,,,,,,,,,,,,,
203480,Adeje,38670,"Av. Barranco las Torres s/n",,28.12629,-16.74165,,,,,,,,,,,,,,,,,,
203479,"La Cuesta-La Laguna (Tenerife)",38297,"Camino de las Mantecas s/n",,28.46579,-16.29663,,,,,,,,,,,,,,,,,,
203478,"Telde-Las Palmas",35214,"Pol.Ind. Las Rubiesas - C/ Monseñor s/n",,27.99785,-15.38878,,,,,,,,,,,,,,,,,,
203477,"La Orotava (S.Cruz Tenerife)",38300,"Alferez Provisional 1",,28.39179,-16.51807,,,,,,,,,,,,,,,,,,
203476,"Moron de la Frontera",41530,"Avda. de Pruna 44",,37.12892,-5.45172,,,,,,,,,,,,,,,,,,
203475,"Moron de la Frontera",41530,"Avda. del Pilar 1",,37.1303,-5.45395,,,,,,,,,,,,,,,,,,
203474,"El Saucejo",41650,"Ctra. Ecija Olvera 11",,37.07546,-5.09879,,,,,,,,,,,,,,,,,,
203473,Ecija,41400,"C/Hospital nº, 18A",,37.5378,-5.08177,,,,,,,,,,,,,,,,,,
203472,Ecija,41400,"Pol. Ind. Maza y Marín C/Cantabria s/n",,38.0834,-122.7633,,,,,,,,,,,,,,,,,,
203471,Badolatosa,41570,"Gustavo Adolfo Becquer 2",,37.30346,-4.67757,,,,,,,,,,,,,,,,,,
203470,Pedrera,41566,"C/Toledillo 8",,37.22267,-4.89348,,,,,,,,,,,,,,,,,,
203469,"La Puebla de Cazalla",41540,"Pol. Ind. Los Veinte, Parcela 19/20",,37.22779,-5.3047,,,,,,,,,,,,,,,,,,
203468,"La Roda de Andalucía",41590,"Pol. Ind. Santa Ana C/Parque Nave s/n",,37.19954,-4.77978,,,,,,,,,,,,,,,,,,
203467,"Puente Genil",14500,"P.I. Francés C/Ferroviarios 4",,37.40044,-4.75766,,,,,,,,,,,,,,,,,,
203466,Estepa,41560,"P.I. Sierra Sur C/ Inovacion 25",,37.29176,-4.87929,,,,,,,,,,,,,,,,,,
203465,Herrera,41567,"C/ Alvarez Quintero 68",,37.35585,-4.84396,,,,,,,,,,,,,,,,,,
203464,Utrera,41710,"Ctra. Utrera-Carmona 28",,37.1939,-5.7832,,,,,,,,,,,,,,,,,,
203463,Aznalcázar,41849,"Sevilla, s/n",,37.30558,-6.24752,,,,,,,,,,,,,,,,,,
203462,"Las Cabezas de San Juan",41730,"Pablo Igelesias, 83",,36.97721,-5.94403,,,,,,,,,,,,,,,,,,
203461,Lebrija,41740,"Av. José María Tomasseti 46",,36.92044,-6.06591,,,,,,,,,,,,,,,,,,
203460,"Dos Hermanas",41703,"Doctor Fleming 45",,37.28157,-5.93686,,,,,,,,,,,,,,,,,,
203459,Sevilla,41008,"Pol. Ind. Store - C / Nivel 30",,37.4158,-5.95701,,,,,,,,,,,,,,,,,,
203458,Marbella,29660,"Nueva Andalucía - Nave 52",,36.49238,-4.95161,,,,,,,,,,,,,,,,,,
203457,Málaga,29410,"Ctra. Yunquera el Burgo KM 1",,36.73309,-4.91822,,,,,,,,,,,,,,,,,,
203456,"Rincón de la Victoria",29730,"Ctra. Benagalbon KM 1",,36.72345,-4.27275,,,,,,,,,,,,,,,,,,
203455,Mijas,29651,"Camino de Coín KM 9",,36.55283,-4.69084,,,,,,,,,,,,,,,,,,
203454,Mijas,29651,"Las Lagunas de Mijas 51",,36.54377,-4.63729,,,,,,,,,,,,,,,,,,
203453,"La Cala de Mijas Costa",29649,"Bulevar de la Cala - Edif. Calasol ",,36.50456,-4.67965,,,,,,,,,,,,,,,,,,
203452,Alozaina,29567,"Calle Calvario, 23 bajo",,36.72742,-4.86253,,,,,,,,,,,,,,,,,,
203451,Archidona,29300,"Carpintero 1",,37.09842,-4.36834,,,,,,,,,,,,,,,,,,
203450,Torreblanca-Fuengirola,29640,"Edif. Lunamar - Av. de las Gaviotas s/n",,36.5598,-4.60957,,,,,,,,,,,,,,,,,,
203449,Antequera,29200,"Pol. Ind. Torre Hacho 20",,37.03022,-4.53075,,,,,,,,,,,,,,,,,,
203448,"San Pedro de Alcantara",29670,"Carril de Picaza N 27",,36.4968,-4.99155,,,,,,,,,,,,,,,,,,
203447,Marbella,29603,"P.I. La Ermita, C/ Pirita, 51",,36.51219,-4.87051,,,,,,,,,,,,,,,,,,
203446,Campillos,29320,"Elías Martín, 9",,37.04406,-4.85901,,,,,,,,,,,,,,,,,,
203445,"Alhaurín de la Torre",29130,"Avda. de las Américas 5",,36.67542,-4.54698,,,,,,,,,,,,,,,,,,
203444,"Estación de Cártama",29580,"Cerería 11",,36.73286,-4.61145,,,,,,,,,,,,,,,,,,
203443,Alora,29510,"C/ Ebro, 11",,36.81975,-4.70033,,,,,,,,,,,,,,,,,,
203442,"Cuevas de San Marcos",29210,"C/ JUAN BENITEZ SANCHEZ 23",,37.26425,-4.4153,,,,,,,,,,,,,,,,,,
203441,Humilladero,29531,"C/ Acebuche, 23",,37.11515,-4.68969,,,,,,,,,,,,,,,,,,
203440,Casabermeja,29160,"Pol. Ind. La Huerta -Av. del Almend s/n",,36.89461,-4.42978,,,,,,,,,,,,,,,,,,
203439,"Villanueva de Trabuco",29313,"C/Galileo Galilei, P.I.El Polear, 6",,37.02794,-4.33856,,,,,,,,,,,,,,,,,,
203438,"Villanueva de Algaidas",29310,"Olivo Manzanillo 14",,37.17577,-4.44154,,,,,,,,,,,,,,,,,,
203437,"Villanueva de Tapia",29315,"Av. de la Constitución 58",,37.18151,-4.33587,,,,,,,,,,,,,,,,,,
203436,"Alhaurin El Grande",29120,"C/Pedregales, Local C 1-A",,36.64283,-4.68767,,,,,,,,,,,,,,,,,,
203435,Coín,29100,"Av. Reina Sofia 44",,36.6629,-4.75215,,,,,,,,,,,,,,,,,,
203434,Fuengirola,29640,"Wenceslao Fernández Flores, s/n s/n",,36.54685,-4.62551,,,,,,,,,,,,,,,,,,
203433,Ronda,29400,"Pol. Ind. El Fuerte - C/ Genal 1",,36.74902,-5.16497,,,,,,,,,,,,,,,,,,
203432,"Velez Malaga",29700,"Blas Infante 12",,36.78268,-4.10922,,,,,,,,,,,,,,,,,,
203431,Málaga,29006,"Pol. Ind. San Luis Bahia Blanca, 38",,36.70608,-4.4774,,,,,,,,,,,,,,,,,,
203430,Estepona,29680,"Pol. Ind. Martín Méndez C/ Galileo s/n",,36.42925,-5.16558,,,,,,,,,,,,,,,,,,
203429,Marbella,29603,"Alfredo Palma, Local 8-9 19",,36.51326,-4.87436,,,,,,,,,,,,,,,,,,
203428,Marbella,29604,"Urb. Las Mimosas - C.C. Cabopino Lo s/n",,36.49537,-4.79167,,,,,,,,,,,,,,,,,,
203427,"San Pedro de Alcántara",29670,"Hnos. Álvarez Quintero 12",,36.48194,-4.991,,,,,,,,,,,,,,,,,,
203426,"Alcalá la Real",23680,"P.I. Retamar, C/Olivo 5",,37.46452,-3.9241,,,,,,,,,,,,,,,,,,
203425,Frailes,23690,"P.I. La Dehesilla, C/Piorno 8",,37.47076,-3.84024,,,,,,,,,,,,,,,,,,
203424,Linares,23700,"Avda. Andalucia 31",,38.091988305312,-3.6442061267121,,,,,,,,,,,,,,,,,,
203423,Villacarrillo,23300,"Ctra. Córdoba Valencia 8",,38.11349,-3.09646,,,,,,,,,,,,,,,,,,
203422,"Pozo Alcon",23485,"Avda. Ntra.Sra. de Los Dolores 61",,37.70176,-2.93437,,,,,,,,,,,,,,,,,,
203421,"Los Villares",23160,"Pol. Ind. Los Llanos 6",,37.69842,-3.81031,,,,,,,,,,,,,,,,,,
203420,Mengíbar,23620,"C/Viena Nave 6",,37.97127,-3.8083,,,,,,,,,,,,,,,,,,
203419,"Mancha Real",23100,"Avda. Juan Carlos Primero 44",,37.78777,-3.60877,,,,,,,,,,,,,,,,,,
203418,"Mancha Real",23100,"Ctra. Ubeda-Málaga Km 37",,37.80817,-3.61117,,,,,,,,,,,,,,,,,,
