store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
320151,Kuranda,4881,"34 Coondoo St",,-16.819295959368,145.63616002761,"THE BOTTLE-O AT BARRON FALLS HOTEL ",,,,,,,,,,,,,,,,,
320092,ARCADIA,4819,"1-4 MARINE PDE",,-19.149111795403,146.8671665548,"The Bottle-O at Arcadia Village Hotel Magnetic Island",,,,,,,,,,,,,,,,,
318951,Gordonvale,4873,"44 Riverstone Rd",,-17.097376408548,145.78148271685,"THE BOTTLE-O AT RIVERSTONE ROAD",,,,,,,,,,,,,,,,,
318950,Gordonvale,4873,"104 Gordon St",,-17.091362431866,145.786551624,"THE BOTTLE-O AT GREAT NORTHERN HOTEL",,,,,,,,,,,,,,,,,
312613,"Thursday Island",4875,"127 Douglas St",,-10.583369072264,142.21627658962,"THE BOTTLE-O AT THURSDAY ISLAND ",,,,,,,,,,,,,,,,,
312612,"Nelly Bay",4819,"147 Sooning Street",,-19.159499127983,146.84848481494,"The Bottle-O at Nelly Bay Magnetic Island ",,,,,,,,,,,,,,,,,
302308,Gladstone,4680,"146 Off St",,-23.856751,151.26859,"THE BOTTLE-O AT TOOLOOA",,,"(07) 4972 6247",,,,,,,,,,,,,,
102370,Howard,4659,"79 William St",,-25.318055,152.561391,"THE BOTTLE-O AT GRAND HOTEL HOWARD",,,"(07) 4129 4906",,,,,,,,,,,,,,
43280,Charleville,4470,"149 Alfred St",,-26.398386,146.24375,"THE BOTTLE-O AT CHARLEVILLE CATTLE CAMP",,,"(07) 4654 3473",,,,,,,,,,,,,,
43270,Collinsville,4804,"3 Stanley St",,-20.555615,147.843794,"THE BOTTLE-O PIT PONY COLLINSVILLE",,,"(07) 4785 5888",,,,,,,,,,,,,,
318947,Strahan,7468,"Regatta Point",,-42.160877845204,145.32744655363,"REGATTA POINT TAVERN ",,,,,,,,,,,,,,,,,
318946,Somerset,7322,"Bass Hwy",,-41.034612201445,145.82320601423,"SEABROOK HOTEL ",,,,,,,,,,,,,,,,,
318944,Ulverstone,7315,"48 Queen St",,-41.150935176066,146.16353408116,"ULVERSTONE LIQUOR MART ",,,,,,,,,,,,,,,,,
318943,Alonnah,7150,"3959 Main Road",,-43.322013417599,147.24223785329,"Hotel Bruny ",,,,,,,,,,,,,,,,,
318939,Burnie,7320,"22 Mount Street",,-41.051190770884,145.90494837231,"KONSY'S THE BOTTLE-O BURNIE",,,,,,,,,,,,,,,,,
318937,Queenstown,7467,"2 Orr St",,-42.079580154723,145.554675158,"EMPIRE HOTEL",,,,,,,,,,,,,,,,,
312622,Shearwater,7307,"17-23 Shearwater Rd",,-41.160170326817,146.54242608009,"SHEARWATER TAVERN BOTTLE-O ",,,,,,,,,,,,,,,,,
312620,Grove,7109,"1952 Huon Hwy",,-42.981635527359,147.09678232936,"The Bottle-O Grove ",,,,,,,,,,,,,,,,,
312619,Devonport,7310,"78 Formby Rd",,-41.180828830147,146.36285150182,"ALEXANDER HOTEL ",,,,,,,,,,,,,,,,,
312618,Howrah,7018,"469 Rokeby Rd",,-42.888727487187,147.42279076765,"Bottle-O Howrah ",,,,,,,,,,,,,,,,,
312617,Nubeena,7184,"1856 Nubeena Rd",,-43.115529956238,147.75274806906,"The Bottle-O Nubeena ",,,,,,,,,,,,,,,,,
312616,Brighton,7030,"141 Brighton Rd",,-42.700317289694,147.25047300487,"Bottle-O Brighton Hotel ",,,,,,,,,,,,,,,,,
309646,Risdon,7015,"691 East Derwent Hwy",,-42.813673123316,147.33549176806,"Risdon Brook Hotel ",,,,,,,,,,,,,,,,,
309645,Margate,7054,"1704 Channel Hwy",,-43.025168005285,147.26019005208,"Bottle-O Margate ",,,,,,,,,,,,,,,,,
309644,Hadspen,7290,"37 Winifred Jane Cres",,-41.503992712478,147.06900637391,"HADSPEN BOTTLE-O ",,,,,,,,,,,,,,,,,
309643,Claremont,7011,"55 Main Rd",,-42.789445565743,147.25396155514,"Bottle-O Claremont",,,,,,,,,,,,,,,,,
309097,Rocherlea,7248,"218 George Town Rd",,-41.378846977665,147.12730208929,"BLACK STALLION BOTTLE-O ",,,,,,,,,,,,,,,,,
307702,"St Helens",7216,"2 Cecilia St",,-41.32454280584,148.24958901202,"Bottle-O St Helens - Bayside Inn",,,,,,,,,,,,,,,,,
307701,Spreyton,7310,"116-120 Morsey Rd",,-41.221627437121,146.34729922444,"THE BOTTLE-O SPREYTON ",,,"(03) 6427 3990",,,,,,,,,,,,,,
307700,Smithton,7330,"2 Montagu Rd",,-40.839158923672,145.1194423185,"BRIDGE HOTEL SMITHTON",,,,,,,,,,,,,,,,,
307699,Prospect,7250,"229 - 237 Westbury Rd",,-41.470845860154,147.13526009546,"OLDE TUDOR HOTEL ",,,,,,,,,,,,,,,,,
307698,Penguin,7316,"88 Main St",,-41.11479443175,146.07406429573,"THE BOTTLE- O PENGUIN ",,,,,,,,,,,,,,,,,
307697,Lauderdale,7021,"464 South Arm Rd",,-42.907720004575,147.48249879551,"The Bottle-O Foreshore Hotel - Foreshore Tavern",,,,,,,,,,,,,,,,,
