store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
1990,"Little Mountain",4551,"66 Caloundra Rd",,-26.794915,153.105054,Caloundra,,,"(07) 5491 4777","(07) 5491 7677",,,,,,,,,,,,,
1985,Nambour,4560,"49 Coronation Ave & Cnr Donaldson Rd",,-26.620579,152.964586,,,,"(07) 5441 6333","(07) 5441 6953",,,,,,,,,,,,,
1980,Toowoomba,4350,"640 Ruthven St",,-27.568117,151.95258,,,,"(07) 4632 7999","(07) 4639 2097",,,,,,,,,,,,,
1970,Mackay,4740,"21 Victoria St And Lawson St",,-21.142206,149.192303,,,,"(07) 4951 3522","(07) 4951 4164",,,,,,,,,,,,,
1965,Townsville,4810,"2 Ross River Rd & Bowen Rds",,-19.291604,146.795627,,,,"(07) 4779 8444","(07) 4775 4920",,,,,,,,,,,,,
1960,Maryborough,4650,"354 - 356 Alice St",,-25.536449,152.693333,,,,"(07) 4122 4622","(07) 4123 1329",,,,,,,,,,,,,
1955,Pialba,4655,"150 Boat Harbour Dr & Cnr O'Rourke St",,-25.2873083,152.834969,"Hervey Bay",,,"(07) 4124 6266","(07) 4124 6075",,,,,,,,,,,,,
1950,Bundaberg,4670,"Cnr Takalvan & 1 Enterprise St",,-24.885328,152.323662,,,,"(07) 4152 6444","(07) 4152 6835",,,,,,,,,,,,,
1945,Macgregor,4109,"544 Kessels Rd",,-27.561255,153.07039,,,,"(07) 3849 6324","(07) 3849 6469",,,,,,,,,,,,,
1940,"Browns Plains",4118,"15 Grand Plaza Dr",,-27.664663,153.0378,"Grand Plaza Shopping Centre",,,"(07) 3800 5555","(07) 3800 5942",,,,,,,,,,,,,
1935,Springwood,4127,"3329 Pacific Hwy",,-27.615872,153.12271,,,,"(07) 3208 9322","(07) 3808 3416",,,,,,,,,,,,,
1930,Beenleigh,4207,"43 Main St & Bellew Sts",,-27.71792,153.203493,,,,"(07) 3807 7766","(07) 3807 7223",,,,,,,,,,,,,
1925,"Parramatta Park",4870,"80 - 84 Mulgrave Rd",,-16.923187,145.766383,Cairns,,,"(07) 4051 7900","(07) 4031 1365",,,,,,,,,,,,,
1920,Nerang,4211,"Cnr Pappas Way & 83 Spencer Rd",,-28.00768,153.343995,,,,"(07) 5527 4100","(07) 5596 6932",,,,,,,,,,,,,
1910,Darwin,0800,"6 Scaturchio St",,-12.371808,130.883292,"Casuarina Shopping Village - Po Box 577",,,"(08) 8927 0322","(08) 8945 1117",,,,,,,,,,,,,
1900,Wollongong,2500,"Cnr Corrimal & 236 Swan St",,-34.435752,150.897378,,,,"(02) 4228 3577","(02) 4227 2476",,,,,,,,,,,,,
1895,Shellharbour,2529,"1-3 New Lake Entrance Rd",,-34.564313,150.831305,"Stoney Range Centre - Shop 2",,,"(02) 4297 3600","(02) 4297 3699",,,,,,,,,,,,,
1890,Nowra,2541,"7-15 East St",,-34.873605,150.605211,,,,"(02) 4421 8177","(02) 4422 3890",,,,,,,,,,,,,
1885,"Newcastle West",2302,"214-218 Parry St",,-32.924588,151.755347,,,,"(02) 4969 2255","(02) 4962 2847",,,,,,,,,,,,,
1880,Kotara,2289,"49 Northcott Dr",,-32.93937,151.712593,,,,"(02) 4952 8311","(02) 4956 1546",,,,,,,,,,,,,
1870,Granville,2142,"280 Parramatta Rd",,-33.828232,151.005498,,,,"(02) 9637 7977","(02) 9682 7595",,,,,,,,,,,,,
1865,Lakehaven,2263,"1202 Forrow Dr",,-33.242246,151.506557,"Lake Haven Shopping Centre - Lot 11",,,"(02) 4393 2833","(02) 4392 8977",,,,,,,,,,,,,
1860,Erina,2250,"155-161 The Entrance Rd",,-33.437764,151.38023,,,,"(02) 4365 1504","(02) 4365 4644",,,,,,,,,,,,,
1855,Dubbo,2830,"223 Macquarie St",,-32.252474,148.600189,,,,"(02) 6881 8900","(02) 6884 1286",,,,,,,,,,,,,
1850,Haberfield,2045,"59 Sloane St & Parramatta Rd",,-33.887577,151.142423,,,,"(02) 9798 8844","(02) 9797 6919",,,,,,,,,,,,,
1845,"Tweed Heads",2485,"153 Minjungbal Dr",,-28.204817,153.544072,,,,"(07) 5513 0030","(07) 5513 0210",,,,,,,,,,,,,
1840,Tamworth,2340,"Cnr Kable Ave & 2 White St",,-31.093805,150.931327,,,,"(02) 6766 2992","(02) 6766 1904",,,,,,,,,,,,,
1835,"Coffs Harbour",2450,"188 Orlando St",,-30.285274,153.127993,,,,"(02) 6651 6611","(02) 6651 6699",,,,,,,,,,,,,
1830,Hornsby,2077,"39 Hunter St & Corner Burdett St",,-33.702214,151.100572,,,,"(02) 9477 2966","(02) 9477 6912",,,,,,,,,,,,,
1825,Campbelltown,2560,"9 Blaxland Service Way",,-34.05451,150.819828,,,,"(02) 4625 8744","(02) 4625 6863",,,,,,,,,,,,,
1820,Brookvale,2100,"10/750 Pittwater Rd",,-33.76145,151.275968,,,,"(02) 9474 8500","(02) 9939 6646",,,,,,,,,,,,,
1815,"Bondi Junction",2022,"79-81 Bronte Rd",,-33.895017,151.250103,,,,"(02) 9389 4144","(02) 9369 1318",,,,,,,,,,,,,
1810,"Taren Point",2229,"138-142 Taren Point Rd",,-34.022623,151.12168,,,,"(02) 9525 9011","(02) 9526 2225",,,,,,,,,,,,,
1805,"Castle Hill",2154,"7-13 Victoria Ave",,-33.732328,150.981052,"Unit 27",,,"(02) 9659 0143","(02) 9894 9512",,,,,,,,,,,,,
1800,"Mount Druitt",2770,"15 Luxford Rd & Cnr Mount St",,-33.765389,150.825674,,,,"(02) 9832 9555","(02) 9675 6659",,,,,,,,,,,,,
1795,Blacktown,2148,"62 Sunnyholt Rd",,-33.761193,150.91327,,,,"(02) 9622 7633","(02) 9831 1545",,,,,,,,,,,,,
1790,Penrith,2750,"16-18 Belmore St - Soper Pl",,-33.751428,150.699064,"Soper Place",,,"(02) 4731 1200","(02) 4732 1607",,,,,,,,,,,,,
1780,Bathurst,2795,"46-48 George St",,-33.414829,149.581787,,,,"(02) 6331 0172","(02) 6331 0192",,,,,,,,,,,,,
1775,Blakehurst,2221,"340 Princes Hwy",,-33.987048,151.112526,,,,"(02) 9547 2344","(02) 9546 6458",,,,,,,,,,,,,
1770,Liverpool,2170,"335 Cnr Hume Hwy & Cnr Atkinson St",,-33.930359,150.917216,,,,"(02) 9602 3088","(02) 9600 6562",,,,,,,,,,,,,
1765,Bankstown,2200,"164 Canterbury Rd",,-33.934028,151.027436,,,,"(02) 9709 5277","(02) 9707 2814",,,,,,,,,,,,,
1750,Artarmon,2064,"487-489 Pacific Hwy",,-33.809475,151.178403,,,,"(02) 9428 2900","(02) 9418 6117",,,,,,,,,,,,,
1745,"East Wagga Wagga",2650,"33 Hammond Ave",,-35.12022,147.381305,,,,"(02) 6921 2500","(02) 6921 1419",,,,,,,,,,,,,
1740,Albury,2640,"579 Hume St And Townsend St",,-36.084821,146.912698,,,,"(02) 6021 3700","(02) 6021 3743",,,,,,,,,,,,,
1735,Fyshwick,2609,"115 - 117 Wollongong St",,-35.322902,149.176452,,,,"(02) 6239 1243","(02) 6280 6169",,,,,,,,,,,,,
1730,Belconnen,2617,"86 Nettlefold St",,-35.243484,149.06312,,,,"(02) 6253 2642","(02) 6253 4292",,,,,,,,,,,,,
