store_number,city,zipcode,street,street_number,latitude,longitude,title,subtitle,text,phone,fax,email,store_hours,store_hours_notes,payment,website,distribution,parking,barrier_free,bonus_card,section,service,toilet,default_radius
320181,Currimundi,4551,"701 Nicklin Way",,-26.76796085053,153.12237125158,,,,,,,,,,,,,,,,,,
319888,Woolloongabba,4102,"74 Ipswich Rd",,-27.490559074999,153.0357028272,"Bob Jane T-Marts Woolloongabba",,,"(07) 3240 3900",,,,,,,,,,,,,,
319056,BELMONT,6104,"247 Great Eastern Hwy",,-31.941221312471,115.92739002996,,,,"(08) 6272 7400",,,,,,,,,,,,,,
290490,Sunbury,3429,"66-68 Horne St",,-37.581662,144.723795,"Store Hours May Vary",,,"(03) 9746 4500",,,,,,,,,,,,,,
281678,Robina,4226,"31 Brabham Circuit",,-28.08291,153.389782,"Bob Jane T-Marts Robina",,,"(07) 5562 2293",,,,,,,,,,,,,,
281566,"Port Kennedy",6172,"9 Sunlight Dr",,-32.367863,115.756783,"Port Kennedy",,,"(08) 9524 5320",,,,,,,,,,,,,,
276092,Aspley,4034,"59 Albany Creek Rd & 9 Gayford St",,-27.361886,153.013249,"The Aspley Hypermarket",,,"(07) 3350 2899","(07) 3350 2253",,,,,,,,,,,,,
276091,Gladesville,2111,"441 Victoria Rd",,-33.823005,151.123018,,,,"(02) 9816 4312","(02) 9879 3520",,,,,,,,,,,,,
2425,Morley,6062,"160 Russell St",,-31.902941,115.902911,,,,"(08) 9271 2866","(08) 9271 7411",,,,,,,,,,,,,
2420,Midland,6056,"216 Great Eastern Hwy",,-31.891794,116.015513,,,,"(08) 9274 3333","(08) 9250 1028",,,,,,,,,,,,,
2415,Joondalup,6027,"Cnr Cord St & Joondalup Dr & 189 Winton Rd",,-31.744912,115.763316,"Unit 2/ 189",,,"(08) 9300 0326","(08) 9300 0325",,,,,,,,,,,,,
2410,Clarkson,6030,"Cnr Belleville Gardens & Marmion Ave & 4 Pensacola Tce",,-31.68663,115.715182,"Unit 2",,,"(08) 9407 8500","(08) 9407 9711",,,,,,,,,,,,,
2405,Claremont,6010,"Cnr Stirling Rd & Gugeri St",,-31.982102,115.777837,,,,"(08) 9383 1355","(08) 9383 1593",,,,,,,,,,,,,
2400,Rockingham,6168,"25 Dixon Rd",,-32.27694,115.748936,,,,"(08) 9527 9868","(08) 9592 2224",,,,,,,,,,,,,
2395,"Osborne Park",6017,"489 Scarborough Beach Rd",,-31.90487,115.805384,,,,"(08) 9446 6611","(08) 9446 6011",,,,,,,,,,,,,
2390,Balcatta,6021,"3 Ledgar Rd",,-31.865351,115.80647,,,,"(08) 9345 3514","(08) 9240 1502",,,,,,,,,,,,,
2385,Kwinana,6167,"8B Chisham Ave",,-32.244526,115.815995,,,,"(08) 9419 5866","(08) 9419 5975",,,,,,,,,,,,,
2380,Armadale,6112,"Cnr Commerce Ave & William St",,-32.154876,116.013486,,,,"(08) 9399 4800","(08) 9399 7570",,,,,,,,,,,,,
2375,Greenfields,6210,"15 Fitzgerald Rd",,-32.516616,115.748668,Mandurah,,,"(08) 9583 3768","(08) 9583 4180",,,,,,,,,,,,,
2370,Bunbury,6230,"112 Blair St & Park St",,-33.332134,115.642817,,,,"(08) 9721 1044","(08) 9721 1219",,,,,,,,,,,,,
2365,Albany,6330,"172 Albany Hwy",,-35.015715,117.87669,,,,"(08) 9841 3530","(08) 9841 8310",,,,,,,,,,,,,
2360,Cannington,6107,"1240 Albany Hwy",,-32.01066,115.926611,,,,"(08) 9356 8333","(08) 9356 8444",,,,,,,,,,,,,
2355,Perth,6000,"493 William St",,-31.940671,115.863472,,,,"(08) 9328 1833","(08) 9227 1496",,,,,,,,,,,,,
2350,"Victoria Park",6100,"3 Harper St & Shepperton Rd",,-31.972062,115.896716,,,,"(08) 9361 9866","(08) 9361 9404",,,,,,,,,,,,,
2340,Traralgon,3844,"75 Princes St",,-38.198945,146.536439,"Store Hours May Vary",,,"(03) 5175 0099","(03) 5175 0148",,,,,,,,,,,,,
2335,Oakleigh,3166,"Cnr Warrigal Rd & 1503 Dandenong Rd",,-37.892677,145.088671,"Store Hours May Vary",,,"(03) 9568 4366","(03) 9563 2146",,,,,,,,,,,,,
2330,Bentleigh,3204,"945 Nepean Hwy",,-37.931934,145.033963,"Store Hours May Vary - Moorabbin",,,"(03) 9557 2984","(03) 9557 7712",,,,,,,,,,,,,
2325,Mildura,3500,"852 Fifteenth St",,-34.207857,142.137182,"Store Hours May Vary",,,"(03) 5023 8484","(03) 5023 1446",,,,,,,,,,,,,
2320,Prahran,3181,"694-696 High St",,-37.854461,145.011047,"Store Hours May Vary",,,"(03) 9525 0111","(03) 9525 0786",,,,,,,,,,,,,
2315,"Taylors Lakes",3038,"399 Keilor Melton Hwy",,-37.69673,144.776277,"Store Hours May Vary - Watergardens Shopping Centre",,,"(03) 9449 0055","(03) 9449 0732",,,,,,,,,,,,,
2310,Melbourne,3000,"697 Elizabeth St",,-37.802186,144.957096,"Store Hours May Vary",,,"(03) 9329 6311","(03) 9326 5031",,,,,,,,,,,,,
2305,Maribyrnong,3032,"157 Rosamond Rd",,-37.774609,144.885356,"Store Hours May Vary - Highpoint",,,"(03) 9317 9544","(03) 9317 0426",,,,,,,,,,,,,
2300,"Port Melbourne",3207,"1/473 Williamstown Rd",,-37.83238,144.937208,"Store Hours May Vary",,,"(03) 9646 3741","(03) 9646 3747",,,,,,,,,,,,,
2295,Frankston,3199,"Cnr Beach St & 2-4 Dandenong Rd",,-38.14101,145.126264,"Store Hours May Vary",,,"(03) 9781 2477","(03) 9783 8616",,,,,,,,,,,,,
2290,"Fountain Gate",3805,"Cnr Overland Dr & Webb St",,-38.020989,145.306785,"Store Hours May Vary",,,"(03) 9796 6399","(03) 9796 6512",,,,,,,,,,,,,
2285,"Ferntree Gully",3156,"738 Burwood Hwy",,-37.880037,145.267192,"Store Hours May Vary",,,"(03) 9758 2344","(03) 9758 0482",,,,,,,,,,,,,
2280,Eltham,3095,"231 Sherbourne Rd",,-37.716591,145.137607,"Store Hours May Vary",,,"(03) 9431 2536","(03) 9431 0903",,,,,,,,,,,,,
2270,Springvale,3171,"144 Springvale Rd",,-37.946407,145.152904,"Store Hours May Vary",,,"(03) 9546 7711","(03) 9562 4283",,,,,,,,,,,,,
2265,Dandenong,3175,"58 - 62 Lonsdale St",,-37.997385,145.220637,"Store Hours May Vary",,,"(03) 9793 4344","(03) 9791 7040",,,,,,,,,,,,,
2260,Ringwood,3134,"87 Maroondah Hwy",,-37.816563,145.223512,"Store Hours May Vary",,,"(03) 9870 8033","(03) 9870 2495",,,,,,,,,,,,,
2255,"Chirnside Park",3116,"239 Maroondah Hwy",,-37.756934,145.312752,"Store Hours May Vary - Chirnside Park Shopping Centre",,,"(03) 9726 9911","(03) 9726 6911",,,,,,,,,,,,,
2250,Essendon,3040,"981 Mt Alexander Rd",,-37.748685,144.912464,"Store Hours May Vary",,,"(03) 9379 9100","(03) 9379 9740",,,,,,,,,,,,,
2240,Nunawading,3131,"345 Whitehorse Rd & Cnr Springvale",,-37.81804,145.17551,"Store Hours May Vary",,,"(03) 9877 7678","(03) 9877 6436",,,,,,,,,,,,,
2235,Doncaster,3108,"567 Doncaster Rd",,-37.787694,145.121104,"Store Hours May Vary",,,"(03) 9848 3333","(03) 9840 2023",,,,,,,,,,,,,
2230,"Box Hill",3128,"889 Whitehorse Rd",,-37.8172,145.120424,"Store Hours May Vary",,,"(03) 9890 0758","(03) 9890 7890",,,,,,,,,,,,,
2225,Bendigo,3550,"163 High St & Cnr Myrtle St",,-36.7639,144.270697,"Store Hours May Vary",,,"(03) 5441 6011","(03) 5441 1799",,,,,,,,,,,,,
2220,"Hoppers Crossing",3030,"43-47 Heaths Rd",,-37.879891,144.702388,"Store Hours May Vary",,,"(03) 9748 7022","(03) 9748 8786",,,,,,,,,,,,,
2215,Geelong,3220,"470 Moorabool St & Cnr Fyans St",,-38.161439,144.353989,"Store Hours May Vary",,,"(03) 5222 4677","(03) 5221 8652",,,,,,,,,,,,,
2210,Ballarat,3350,"117 Doveton St North",,-37.55856,143.855017,"Store Hours May Vary",,,"(03) 5331 4499","(03) 5332 1083",,,,,,,,,,,,,
2205,Preston,3072,"402 High St & Murray Rd",,-37.737638,145.004377,"Store Hours May Vary",,,"(03) 9478 6444","(03) 9470 4687",,,,,,,,,,,,,
2195,Epping,3076,"571-583 Cooper St",,-37.654096,145.018297,"Store Hours May Vary - Epping Plaza Shopping Centre",,,"(03) 9408 3311","(03) 9408 3300",,,,,,,,,,,,,
2190,Shepparton,3630,"267 High St & Cnr Railway Pde",,-36.381722,145.407231,"Store Hours May Vary",,,"(03) 5831 1300","(03) 5831 1545",,,,,,,,,,,,,
2185,Devonport,7310,"16 Oldaker St",,-41.176173,146.359869,,,,"(03) 6424 7222","(03) 6424 4926",,,,,,,,,,,,,
2180,Launceston,7250,"251 Wellington St & Corner Howick St",,-41.448871,147.140581,,,,"(03) 6334 0766","(03) 6334 1505",,,,,,,,,,,,,
2175,Hobart,7000,"Cnr Warwick St & 246 Harrington St",,-42.879174,147.317113,,,,"(03) 6234 8678","(03) 6234 8107",,,,,,,,,,,,,
2170,Moonah,7009,"202 Main Rd",,-42.840556,147.290248,,,,"(03) 6273 0900","(03) 6273 0911",,,,,,,,,,,,,
2165,Seaford,5169,"125 Griffiths Dr",,-35.19235,138.479995,,,,"(08) 8386 1493","(08) 8386 1631",,,,,,,,,,,,,
2160,Reynella,5161,"132 Sherriffs Rd",,-35.105544,138.524938,,,,"(08) 8326 0077","(08) 8382 8793",,,,,,,,,,,,,
2155,"Plympton South",5038,"587 Marion Rd",,-34.980334,138.556354,,,,"(08) 8297 9497","(08) 8297 6330",,,,,,,,,,,,,
2150,Marion,5043,"173 Sturt Rd",,-35.01845,138.542131,,,,"(08) 8296 0761","(08) 8298 6371",,,,,,,,,,,,,
2145,"Glynde Corner",5074,"1 Montacute Rd & Lower North East Rd",,-34.889149,138.65729,"Glynde Corner",,,"(08) 8336 7633","(08) 8365 0282",,,,,,,,,,,,,
2140,Modbury,5092,"940 North East Rd",,-34.833088,138.684212,,,,"(08) 8265 5011","(08) 8396 2708",,,,,,,,,,,,,
2135,Salisbury,5108,"29 Park Tce",,-34.764072,138.643821,,,,"(08) 8258 8422","(08) 8281 3725",,,,,,,,,,,,,
2130,Elizabeth,5112,"61 Elizabeth Way",,-34.714733,138.669059,,,,"(08) 8252 0985","(08) 8255 4756",,,,,,,,,,,,,
2125,Prospect,5082,"240 Main North Rd",,-34.877646,138.602124,"Closed due to Covid. Reopening 27 July.",,,"(08) 8269 6688","(08) 8269 3837",,,,,,,,,,,,,
2120,"Brooklyn Park",5032,"283 Henley Beach Rd",,-34.924913,138.549548,,,,"(08) 8352 2622","(08) 8352 1132",,,,,,,,,,,,,
2115,Alberton,5014,"238 Port Rd",,-34.854356,138.510367,,,,"(08) 8447 8888","(08) 8447 1712",,,,,,,,,,,,,
2110,Frewville,5063,"223 - 225 Glen Osmond Rd",,-34.948864,138.630065,Fullarton,,,"(08) 8379 0355","(08) 8379 0109",,,,,,,,,,,,,
2100,Adelaide,5000,"Cnr Flinders St & 208 Pulteney St",,-34.927079,138.606138,,,,"(08) 8223 7388","(08) 8223 3046",,,,,,,,,,,,,
2095,"Mt Barker",5251,"8 Morphett St",,-35.066032,138.858094,,,,"(08) 8398 3800","(08) 8398 3745",,,,,,,,,,,,,
2090,Gawler,5118,"24 Murray St",,-34.601572,138.749002,,,,"(08) 8522 1538","(08) 8522 6067",,,,,,,,,,,,,
2085,"Mt Ommaney",4074,"28 Sumners Rd",,-27.559833,152.941058,,,,"(07) 3279 4799","(07) 3279 0833",,,,,,,,,,,,,
2080,Noosaville,4566,"118 Eumundi Rd",,-26.408159,153.047781,,,,"(07) 5474 0855","(07) 5474 4271",,,,,,,,,,,,,
2075,Redcliffe,4020,"Cnr Oxley Ave & 72 Anzac Ave",,-27.22985,153.10913,,,,"(07) 3283 2000","(07) 3283 2246",,,,,,,,,,,,,
2070,Strathpine,4500,"Cnr Gympie Rd & 1 Paisley Dr",,-27.290506,152.985822,,,,"(07) 3205 5833","(07) 3205 5591",,,,,,,,,,,,,
2065,Morayfield,4510,"66 William Berry Dr & Cnr Leda Blvd",,-27.099663,152.949748,,,,"(07) 5499 0976","(07) 5499 0090",,,,,,,,,,,,,
2060,Southport,4215,"168 Marine Pde & Gold Coast Hwy",,-27.956869,153.409044,"Loders Creek",,,"(07) 5591 2655","(07) 5591 2309",,,,,,,,,,,,,
2055,Taringa,4068,"Cnr Moorak & 10 Walker St",,-27.492202,152.979065,,,,"(07) 3371 7900","(07) 3371 4102",,,,,,,,,,,,,
2045,Ipswich,4305,"Cnr Waghorn & 198 Brisbane St",,-27.615098,152.753924,,,,"(07) 3812 1155","(07) 3812 2489",,,,,,,,,,,,,
2040,Rockhampton,4701,"Cnr Bruce Hwy & High St - 2 Aquatic Pl - Park Ave",,-23.357113,150.519795,,,,"(07) 4926 1711","(07) 4926 1591",,,,,,,,,,,,,
2035,"Gladstone Central",4680,"1 Dawson Rd",,-23.846733,151.254223,,,,"(07) 4971 3000",,,,,,,,,,,,,,
2030,Keperra,4054,"797-799 Samford Rd",,-27.411482,152.963185,,,,"(07) 3354 3222","(07) 3354 3624",,,,,,,,,,,,,
2025,Toombul,4012,"11 Parkland St",,-27.408126,153.058874,,,,"(07) 3266 1500","(07) 3266 1566",,,,,,,,,,,,,
2015,Coorparoo,4151,"68 Cavendish Rd & Jellicoe St",,-27.489254,153.056075,,,,"(07) 3324 2696","(07) 3394 2108",,,,,,,,,,,,,
2010,Carina,4152,"944 Old Cleveland Rd",,-27.495353,153.094634,,,,"(07) 3324 8043","(07) 3324 8254",,,,,,,,,,,,,
2005,Cleveland,4163,"55 Shore St",,-27.524479,153.257339,,,,"(07) 3286 3566","(07) 3286 2366",,,,,,,,,,,,,
2000,Capalaba,4157,"46 Redland Bay Rd",,-27.524125,153.192859,,,,"(07) 3245 4233","(07) 3390 3631",,,,,,,,,,,,,
1995,Maroochydore,4558,"138 Aerodrome Rd",,-26.656879,153.092173,,,,"(07) 5443 5599","(07) 5443 5629",,,,,,,,,,,,,
