PLZ;Sprache
1808;FR
1809;FR
1814;FR
1815;FR
1816;FR
1817;FR
1820;FR
1822;FR
1823;FR
1824;FR
1832;FR
1833;FR
1844;FR
1845;FR
1846;FR
1847;FR
1852;FR
1853;FR
1854;FR
1856;FR
1860;FR
1862;FR
1863;FR
1864;FR
1865;FR
1866;FR
1867;FR
1868;FR
1869;FR
1870;FR
1871;FR
1872;FR
1873;FR
1874;FR
1875;FR
1880;FR
1882;FR
1884;FR
1885;FR
1890;FR
1891;FR
1892;FR
1893;FR
1895;FR
1896;FR
1897;FR
1898;FR
1899;FR
1902;FR
1903;FR
1904;FR
1905;FR
1906;FR
1907;FR
1908;FR
1911;FR
1912;FR
1913;FR
1914;FR
1918;FR
1920;FR
1921;FR
1922;FR
1923;FR
1925;FR
1926;FR
1927;FR
1928;FR
1929;FR
1932;FR
1933;FR
1934;FR
1936;FR
1937;FR
1938;FR
1941;FR
1942;FR
1943;FR
1944;FR
1945;FR
1946;FR
1947;FR
1948;FR
1950;FR
1951;FR
1955;FR
1957;FR
1958;FR
1961;FR
1962;FR
1963;FR
1964;FR
1965;FR
1966;FR
1967;FR
1968;FR
1969;FR
1971;FR
1972;FR
1973;FR
1974;FR
1975;FR
1976;FR
1977;FR
1978;FR
1981;FR
1982;FR
1983;FR
1984;FR
1985;FR
1986;FR
1987;FR
1988;FR
1991;FR
1992;FR
1993;FR
1994;FR
1996;FR
1997;FR
2000;FR
2012;FR
2013;FR
2014;FR
2015;FR
2016;FR
2017;FR
2019;FR
2022;FR
2023;FR
2024;FR
2025;FR
2027;FR
2028;FR
2034;FR
2035;FR
2036;FR
2037;FR
2042;FR
2043;FR
2046;FR
2052;FR
2053;FR
2054;FR
2056;FR
2057;FR
2058;FR
2063;FR
2065;FR
2067;FR
2068;FR
2072;FR
2073;FR
2074;FR
2075;FR
2087;FR
2088;FR
2103;FR
2105;FR
2108;FR
2112;FR
2113;FR
2114;FR
2115;FR
2116;FR
2117;FR
2123;FR
2124;FR
2126;FR
2127;FR
2149;FR
2206;FR
2207;FR
2208;FR
2300;FR
2314;FR
2316;FR
2318;FR
2322;FR
2325;FR
2333;FR
2336;FR
2338;FR
2340;FR
2345;FR
2350;FR
2353;FR
2354;FR
2360;FR
2362;FR
2363;FR
2364;FR
2400;FR
2405;FR
2406;FR
2414;FR
2416;FR
2500;DE,FR
2502;DE,FR
2503;DE,FR
2504;DE,FR
2505;DE,FR
2512;DE
2513;DE
2514;DE
2515;DE,FR
2516;DE,FR
2517;FR
2518;FR
2520;DE,FR
2523;FR
2525;FR
2532;DE,FR
2533;DE,FR
2534;DE,FR
2535;DE,FR
2536;DE,FR
2537;DE,FR
2538;DE,FR
2540;DE
2542;DE
2543;DE
2544;DE
2545;DE
2552;DE
2553;DE
2554;DE
2555;DE
2556;DE
2557;DE
2558;DE
2560;DE
2562;DE
2563;DE
2564;DE
2565;DE
2572;DE
2575;DE
2576;DE
2577;DE
2603;FR
2604;FR
2605;FR
2606;FR
2607;FR
2608;FR
2610;FR
2612;FR
2613;FR
2615;FR
2616;FR
2710;FR
2712;FR
2713;FR
2714;FR
2715;FR
2716;FR
2717;FR
2718;FR
2720;FR
2722;FR
2723;FR
2732;FR
2733;FR
2735;FR
2736;FR
2738;FR
2740;FR
2742;FR
2743;FR
2744;FR
2745;FR
2746;FR
2747;FR
2748;FR
2762;FR
2800;FR
2802;FR
2803;FR
2805;FR
2806;FR
2807;FR
2812;FR
2813;FR
2814;DE
2822;FR
2823;FR
2824;FR
2825;FR
2826;FR
2827;FR
2828;FR
2829;FR
2830;FR
2832;FR
2842;FR
2843;FR
2852;FR
2853;FR
2854;FR
2855;FR
2856;FR
2857;FR
2863;FR
2864;FR
2873;FR
2874;FR
2875;FR
2877;FR
2882;FR
2883;FR
2884;FR
2885;FR
2886;FR
2887;FR
2888;FR
2889;FR
2900;FR
2902;FR
2903;FR
2904;FR
2905;FR
2906;FR
2907;FR
2908;FR
2912;FR
2914;FR
2915;FR
2916;FR
2922;FR
2923;FR
2924;FR
2925;FR
2926;FR
2932;FR
2933;FR
2935;FR
2942;FR
2943;FR
2944;FR
2946;FR
2947;FR
2950;FR
2952;FR
2953;FR
2954;FR
3000;DE
3004;DE
3005;DE
3006;DE
3007;DE
3008;DE
3010;DE
3011;DE
3012;DE
3013;DE
3014;DE
3015;DE
3018;DE
3019;DE
3020;DE
3027;DE
3032;DE
3033;DE
3034;DE
3035;DE
3036;DE
3037;DE
3038;DE
3042;DE
3043;DE
3044;DE
3045;DE
3046;DE
3047;DE
3048;DE
3049;DE
3052;DE
3053;DE
3054;DE
3063;DE
3065;DE
3066;DE
3067;DE
3068;DE
3072;DE
3073;DE
3074;DE
3075;DE
3076;DE
3077;DE
3078;DE
3082;DE
3083;DE
3084;DE
3086;DE
3087;DE
3088;DE
3089;DE
3095;DE
3096;DE
3097;DE
3098;DE
3099;DE
3110;DE
3111;DE
3112;DE
3113;DE
3114;DE
3115;DE
3116;DE
3122;DE
3123;DE
3124;DE
3125;DE
3126;DE
3127;DE
3128;DE
3132;DE
3144;DE
3145;DE
3147;DE
3148;DE
3150;DE
3152;DE
3153;DE
3154;DE
3155;DE
3156;DE
3157;DE
3158;DE
3159;DE
3172;DE
3173;DE
3174;DE
3175;DE
3176;DE
3177;DE
3178;DE
3179;DE
3182;DE
3183;DE
3184;DE
3185;DE
3186;DE
3202;DE
3203;DE
3204;DE
3205;DE
3206;DE
3207;DE
3208;DE
3210;DE
3212;DE
3213;DE
3214;DE
3215;DE
3216;DE
3225;DE
3226;DE
3232;DE
3233;DE
3234;DE
3235;DE
3236;DE
3237;DE
3238;DE
3250;DE
3251;DE
3252;DE
3253;DE
3254;DE
3255;DE
3256;DE
3257;DE
3262;DE
3263;DE
3264;DE
3266;DE
3267;DE
3268;DE
3270;DE
3271;DE
3272;DE
3273;DE
3274;DE
3280;DE
3280;DE,FR
3282;DE
3283;DE
3284;DE
3285;DE
3286;DE
3292;DE
3293;DE
3294;DE
3295;DE
3296;DE
3297;DE
3298;DE
3302;DE
3303;DE
3305;DE
3306;DE
3307;DE
3308;DE
3309;DE
3312;DE
3313;DE
3314;DE
3315;DE
3317;DE
3321;DE
3322;DE
3323;DE
3324;DE
3325;DE
3326;DE
3360;DE
3362;DE
3363;DE
3365;DE
3366;DE
3367;DE
3368;DE
3372;DE
3373;DE
3374;DE
3375;DE
3376;DE
3377;DE
3380;DE
3400;DE
3412;DE
3413;DE
3414;DE
3415;DE
3416;DE
3417;DE
3418;DE
3419;DE
3421;DE
3422;DE
3423;DE
3424;DE
3425;DE
3426;DE
3427;DE
3428;DE
3429;DE
3432;DE
3433;DE
3434;DE
3435;DE
3436;DE
3437;DE
3438;DE
3439;DE
3452;DE
3453;DE
3454;DE
3455;DE
3456;DE
3457;DE
3462;DE
3463;DE
3464;DE
3465;DE
3472;DE
3473;DE
3474;DE
3475;DE
3476;DE
3503;DE
3504;DE
3506;DE
3507;DE
3508;DE
3510;DE
3512;DE
3513;DE
3531;DE
3532;DE
3533;DE
3534;DE
3535;DE
3536;DE
3537;DE
3538;DE
3543;DE
3550;DE
3551;DE
3552;DE
3553;DE
3555;DE
3556;DE
3557;DE
3600;DE
3601;DE
3603;DE
3604;DE
3608;DE
3612;DE
3613;DE
3614;DE
3615;DE
